model_name,memcpy_ratio,active_ratio,busy_ratio,occupancy
detectron2_maskrcnn_r_101_fpn, 0.30, 58.05, 58.35, 46.91
mnasnet1_0, 0.00, 45.14, 45.14, 75.09
shufflenet_v2_x1_0, 0.00, 52.71, 52.71, 75.76
BERT_pytorch, 0.21, 69.73, 69.94, 50.82
detectron2_maskrcnn_r_50_c4, 2.12, 74.77, 76.89, 39.39
mobilenet_v2, 3.78, 89.68, 93.46, 74.14
soft_actor_critic, 0.52, 15.82, 16.33, 72.37
Background_Matting, 3.25, 43.58, 46.84, 42.37
detectron2_maskrcnn_r_50_fpn, 0.39, 54.20, 54.58, 47.97
mobilenet_v2_quantized_qat, 1.83, 68.76, 70.59, 84.63
speech_transformer, 0.30, 25.53, 25.84, 56.67
LearningToPaint, 45.18, 35.86, 81.04, 55.44
dlrm, 1.21, 71.35, 72.57, 72.62
mobilenet_v3_large, 0.29, 34.78, 35.07, 76.54
squeezenet1_1, 0.00, 56.60, 56.60, 59.90
Super_SloMo, 0.16, 98.36, 98.52, 38.37
drq, 11.12, 11.67, 22.79, 63.44
moco, 1.40, 71.31, 72.72, 51.97
tacotron2, 0.08, 26.84, 26.91, 62.66
alexnet, 0.00, 97.38, 97.38, 57.47
nvidia_deeprecommender, 0.00, 99.11, 99.11, 52.14
timm_efficientdet, 1.95, 73.99, 75.94, 79.97
attention_is_all_you_need_pytorch, 0.17, 82.92, 83.09, 37.82
fambench_xlmr, 0.00, 98.54, 98.54, 41.63
opacus_cifar10, 4.18, 26.56, 30.74, 70.93
timm_efficientnet, 1.35, 52.76, 54.10, 73.60
dcgan, 0.06, 53.12, 53.18, 41.44
timm_nfnet, 0.52, 96.25, 96.77, 49.82
demucs, 0.00, 99.85, 99.85, 40.57
hf_Albert, 0.00, 95.22, 95.22, 46.24
timm_regnet, 0.00, 95.66, 95.66, 64.76
densenet121, 0.10, 91.62, 91.72, 61.68
hf_Bart, 0.34, 88.16, 88.50, 45.11
timm_resnest, 0.00, 93.11, 93.11, 54.01
detectron2_fasterrcnn_r_101_c4, 2.69, 77.88, 80.57, 41.14
hf_Bert, 0.00, 92.14, 92.14, 47.06
timm_vision_transformer, 0.01, 44.75, 44.76, 46.29
detectron2_fasterrcnn_r_101_dc5, 1.70, 74.53, 76.23, 42.90
hf_BigBird, 4.98, 47.55, 52.53, 54.40
timm_vovnet, 0.00, 93.24, 93.24, 46.28
detectron2_fasterrcnn_r_101_fpn, 0.28, 61.46, 61.74, 46.57
hf_DistilBert, 1.24, 87.40, 88.65, 40.62
pytorch_stargan, 0.22, 92.60, 92.82, 45.54
tts_angular, 0.42, 77.36, 77.79, 41.11
detectron2_fasterrcnn_r_50_c4, 2.53, 76.81, 79.34, 39.76
hf_GPT2, 0.44, 96.28, 96.72, 48.23
pytorch_struct, 2.46, 53.59, 56.05, 96.45
vgg16, 0.00, 99.09, 99.09, 48.25
detectron2_fasterrcnn_r_50_dc5, 3.28, 74.80, 78.08, 42.43
hf_Longformer, 10.15, 77.14, 87.29, 58.24
pytorch_unet, 0.02, 97.70, 97.72, 40.98
vision_maskrcnn, 0.41, 86.94, 87.34, 42.98
detectron2_fasterrcnn_r_50_fpn, 0.40, 57.35, 57.75, 47.83
hf_Reformer, 2.88, 90.18, 93.05, 60.97
resnet18, 0.00, 47.31, 47.31, 53.16
yolov3, 0.06, 75.37, 75.43, 52.28
hf_T5, 0.24, 92.92, 93.16, 45.85
resnet50, 0.00, 81.69, 81.69, 53.63
detectron2_maskrcnn, 0.16, 48.43, 48.59, 48.59
resnet50_quantized_qat, 0.10, 60.07, 60.18, 68.66
detectron2_maskrcnn_r_101_c4, 1.76, 74.26, 76.02, 40.05
maml_omniglot, 0.15, 17.20, 17.35, 79.41
resnext50_32x4d, 0.00, 43.46, 43.46, 48.99
